지급대기일자,고객명,상담(체결)담당자,고객연락처,상태변경일,현재상담상태,딜러유형,딜러아이디,딜러이름,보험료,가입보험사,기존보험사
2026-07-02,효**기,박순미,010****0380,2026-09-01,JOIN_COMPLETED,TM,chasamobility,유*일,734810,HANHWA,HYUNDAI
2026-07-02,김*호,김경선,010****1244,2026-09-01,JOIN_COMPLETED,CM,,김*호,1304830,DB,HYUNDAI
2026-07-08,임*정,박순미,010****5544,2026-09-01,JOIN_COMPLETED,CM,gjlim1,임*정,1132230,HYUNDAI,DB
2026-07-06,박*준,정혜령,010****6037,2026-09-01,JOIN_COMPLETED,CM,skkim01,김*기,1151430,DB,HYUNDAI
2026-07-02,금*혁,송민선,010****4786,2026-09-01,JOIN_COMPLETED,CM,gudtjq478,금*섭,520040,HANA,KB
2026-07-01,강*수,박순미,010****2818,2026-09-01,JOIN_COMPLETED,CM,lsh4885,이*현,981150,DB,HYUNDAI
2026-07-16,김*중,최현정,010****6542,2026-09-01,JOIN_COMPLETED,CM,,아*당,939580,KB,HYUNDAI
2026-07-13,박*현,정혜령,010****9619,2026-09-01,JOIN_COMPLETED,CM,ldg3210,이*근,824800,HANA,HYUNDAI
2026-07-10,안*태,박순미,010****0979,2026-09-01,JOIN_COMPLETED,CM,,박*준,630100,DB,SAMSUNG
2026-07-07,이*우,최현정,010****7687,2026-09-01,JOIN_COMPLETED,CM,guswndi030,박*주,675650,KB,DB
2026-07-06,김*호,송민선,010****7006,2026-09-01,JOIN_COMPLETED,CM,,김*진,790880,HANHWA,DB
2026-07-01,정*영,정혜령,010****7128,2026-09-01,JOIN_COMPLETED,CM,skkim01,김*기,861810,KB,DB
2026-07-20,이*석,김경선,010****6772,2026-09-01,JOIN_COMPLETED,CM,archips,김*철,546910,KB,DB
2026-07-15,김*근,정혜령,010****0280,2026-09-01,JOIN_COMPLETED,CM,,아*당,646560,HANA,KB
2026-07-13,조*애,신영란,010****7840,2026-09-01,JOIN_COMPLETED,TM,wefgbn,손*수,948880,HANHWA,SAMSUNG
2026-07-29,김*환,송민선,010****4918,2026-09-01,JOIN_COMPLETED,CM,abc337,오*재,1596950,DB,KB
2026-07-16,권*성,이선이,010****5330,2026-09-01,JOIN_COMPLETED,CM,,,781560,HYUNDAI,SAMSUNG
2026-07-16,이*호,송민선,010****0077,2026-09-01,JOIN_COMPLETED,CM,,김*진,723880,HYUNDAI,DB
2026-07-15,임*숙,이선이,010****6204,2026-09-01,JOIN_COMPLETED,CM,wookoo,우*윤,936830,KB,HYUNDAI
2026-07-08,이*솜,최현정,010****9153,2026-09-01,JOIN_COMPLETED,TM,hsn4353,이*희,1059950,HANHWA,HEUNGKUK
